device,registry_key,short_description,categories,tags,action_count,atom_actions,action_titles,function_count,info_txt
ftp_base_wrapper,ftp_base_wrapper,FTP Base Wrapper FTP文件传输模块是由Jeio Tech Co.,物流/机械,物流/机械(experimental_step),8,auto-close|auto-connect|auto-cwd|auto-delete|auto-getlines|auto-list|auto-put|auto-save,close|connect|cwd|delete|getlines|list|put|save,20,Uni-Lab-OS/community_drivers/ftp_base_wrapper/info.txt
ftp_wrapper,ftp_wrapper,Newport Corporation Ftp Wrapper 自动化设备是由Newport Corporation (MKS)生产的物流/机械，主要功能包括关闭、数据保存、设备连接。,物流/机械,物流/机械(experimental_step),7,auto-connect|auto-cwd|auto-delete|auto-getlines|auto-list|auto-put|auto-save,connect|cwd|delete|getlines|list|put|save,20,Uni-Lab-OS/community_drivers/ftp_wrapper/info.txt
func_gen,func_gen,WIGGENS WHT-150恒温恒湿箱是由维根技术（北京）有限公司（WIGGENS）生产的专业实验设备。,表征设备,表征设备(experimental_step),33,auto-close|auto-get_amplitude|auto-get_amplitude_lims|auto-get_custom_waveform|auto-get_error|auto-get_frequency|auto-get_frequency_lims|auto-get_frequency_lock|auto-get_function|auto-get_offset|auto-get_output|auto-get_output_state|auto-get_settings|auto-get_voltage_lims|auto-get_waveform_catalogue|auto-open|auto-print_settings|auto-query|auto-set_amplitude|auto-set_custom_waveform|auto-set_frequency|auto-set_frequency_lock|auto-set_function|auto-set_limit|auto-set_offset|auto-set_output|auto-set_output_state|auto-set_settings|auto-set_stricter_limits|auto-software_trig|auto-syncronise_waveforms|auto-timeout|auto-write,close|get_amplitude|get_amplitude_lims|get_custom_waveform|get_error|get_frequency|get_frequency_lims|get_frequency_lock|get_function|get_offset|get_output|get_output_state|get_settings|get_voltage_lims|get_waveform_catalogue|open|print_settings|query|set_amplitude|set_custom_waveform|set_frequency|set_frequency_lock|set_function|set_limit|set_offset|set_output|set_output_state|set_settings|set_stricter_limits|software_trig|syncronise_waveforms|timeout|write,58,Uni-Lab-OS/community_drivers/func_gen/info.txt
function_generator,function_generator,Laboratory Function Generator是一款表征设备。,表征设备,表征设备(experimental_step),8,auto-amplitude|auto-channel|auto-frequency|auto-function|auto-offset|auto-phase|auto-query|auto-sendcmd,amplitude|channel|frequency|function|offset|phase|query|sendcmd,14,Uni-Lab-OS/community_drivers/function_generator/info.txt
furnace,furnace,A class for the tube furnace in the system,furnace,,4,auto-ChangeAddress|auto-QueryTemp|auto-ReportStatus|auto-SetTemp,ChangeAddress|QueryTemp|ReportStatus|SetTemp,24,Uni-Lab-OS/community_drivers/furnace/info.txt
fw102_b,fw102_b,FW 102B,generic,,2,auto-getPos|auto-setPos,getPos|setPos,3,Uni-Lab-OS/community_drivers/fw102_b/info.txt
g2_v_sunbrick,g2_v_sunbrick,G 2VSunbrick,generic,,5,auto-set_channel_value|auto-set_intensity_factor|auto-set_spectrum|auto-setup_network_arbitration|auto-turn_off,set_channel_value|set_intensity_factor|set_spectrum|setup_network_arbitration|turn_off,53,Uni-Lab-OS/community_drivers/g2_v_sunbrick/info.txt
galil,galil,Galil 运动控制器 自动化设备 Galil是由Galil Motion Control生产的专业实验设备。,物流/机械,物流/机械(experimental_step),18,auto-break_infinite_digital_cycles|auto-digital_out_off|auto-digital_out_on|auto-infinite_digital_cycles|auto-motor_disconnect|auto-motor_move|auto-motor_move_live|auto-motor_off|auto-motor_on|auto-motor_stop|auto-query_all_axis_positions|auto-query_axis|auto-query_moving|auto-read_analog_in|auto-read_digital_in|auto-read_digital_out|auto-set_analog_out|auto-shutdown_event,break_infinite_digital_cycles|digital_out_off|digital_out_on|infinite_digital_cycles|motor_disconnect|motor_move|motor_move_live|motor_off|motor_on|motor_stop|query_all_axis_positions|query_axis|query_moving|read_analog_in|read_digital_in|read_digital_out|set_analog_out|shutdown_event,20,Uni-Lab-OS/community_drivers/galil/info.txt
gamepad6_dof_teleop,gamepad6_dof_teleop,Gamepad6 Dof Teleop是一款机械臂，主要功能包括参数配置、校准、设备连接。,机械臂,机械臂(device_template_tag),10,auto-action_features|auto-calibrate|auto-configure|auto-connect|auto-disconnect|auto-feedback_features|auto-get_action|auto-is_calibrated|auto-is_connected|auto-send_feedback,action_features|calibrate|configure|connect|disconnect|feedback_features|get_action|is_calibrated|is_connected|send_feedback,11,Uni-Lab-OS/community_drivers/gamepad6_dof_teleop/info.txt
gamry,gamry,Gamry Reference 600+ 是由 Gamry Instruments 生产的高性能单通道电化学工作站，广泛应用于腐蚀测试、电池研发、传感器开发及电化学基础研究等领域。,电化学工作站,电化学工作站(device_template_tag),9,auto-close_connection|auto-dump_data|auto-measure|auto-measurement_setup|auto-open_connection|auto-potential_cycle|auto-potential_ramp|auto-simulate|auto-status,close_connection|dump_data|measure|measurement_setup|open_connection|potential_cycle|potential_ramp|simulate|status,15,Uni-Lab-OS/community_drivers/gamry/info.txt
gass,gass,GASS Gas Analysis System (EPICS) 透射电镜是由Generic (EPICS)生产的透射电子显微镜，主要功能包括关闭、压力设置、启动、打开。,透射电子显微镜,透射电子显微镜(device_template_tag),26,auto-close_all_chambers|auto-close_all_valves|auto-close_valve|auto-do_vacuum_all_chambers|auto-do_vacuum_manifold|auto-fill_all_chambers|auto-fill_all_chambers_with_a_gas|auto-get_edge|auto-get_element|auto-get_extratime_manifold|auto-get_extratime_manifold_vacuum|auto-get_gas_proportions|auto-get_pressure_vacuum|auto-get_pressure_work|auto-open_all_chambers|auto-open_all_valves|auto-open_valve|auto-purge_all_chambers|auto-set_edge|auto-set_element|auto-set_extratime_manifold|auto-set_extratime_manifold_vacuum|auto-set_gas_proportions|auto-set_pressure_vacuum|auto-set_pressure_work|auto-start,close_all_chambers|close_all_valves|close_valve|do_vacuum_all_chambers|do_vacuum_manifold|fill_all_chambers|fill_all_chambers_with_a_gas|get_edge|get_element|get_extratime_manifold|get_extratime_manifold_vacuum|get_gas_proportions|get_pressure_vacuum|get_pressure_work|open_all_chambers|open_all_valves|open_valve|purge_all_chambers|set_edge|set_element|set_extratime_manifold|set_extratime_manifold_vacuum|set_gas_proportions|set_pressure_vacuum|set_pressure_work|start,36,Uni-Lab-OS/community_drivers/gass/info.txt
gatan_socket,gatan_socket,gatansocket3,camera,,39,auto-AlignEnergyFilterZeroLossPeak|auto-ExchangeMessages|auto-ExecuteCameraObjectFunction|auto-ExecuteGetDoubleCameraObjectFunction|auto-ExecuteGetDoubleScript|auto-ExecuteGetLongCameraObjectFunction|auto-ExecuteGetLongScript|auto-ExecuteScript|auto-ExecuteSendCameraObjectionFunction|auto-ExecuteSendScript|auto-GetDMVersion|auto-GetEnergyFilter|auto-GetEnergyFilterOffset|auto-GetEnergyFilterWidth|auto-GetImage|auto-GetLong|auto-GetNumberOfCameras|auto-GetPluginVersion|auto-InsertCamera|auto-IsCameraInserted|auto-RunScript|auto-SelectCamera|auto-SendLongGetLong|auto-SetEnergyFilter|auto-SetEnergyFilterOffset|auto-SetEnergyFilterWidth|auto-SetK2Parameters|auto-SetReadMode|auto-SetShutterNormallyClosed|auto-SetupFileSaving|auto-UpdateK2HardwareDarkReference|auto-connect|auto-disconnect|auto-getNumGrabSum|auto-hasScriptFunction|auto-reconnect|auto-recv_data|auto-send_data|auto-setNumGrabSum,AlignEnergyFilterZeroLossPeak|ExchangeMessages|ExecuteCameraObjectFunction|ExecuteGetDoubleCameraObjectFunction|ExecuteGetDoubleScript|ExecuteGetLongCameraObjectFunction|ExecuteGetLongScript|ExecuteScript|ExecuteSendCameraObjectionFunction|ExecuteSendScript|GetDMVersion|GetEnergyFilter|GetEnergyFilterOffset|GetEnergyFilterWidth|GetImage|GetLong|GetNumberOfCameras|GetPluginVersion|InsertCamera|IsCameraInserted|RunScript|SelectCamera|SendLongGetLong|SetEnergyFilter|SetEnergyFilterOffset|SetEnergyFilterWidth|SetK2Parameters|SetReadMode|SetShutterNormallyClosed|SetupFileSaving|UpdateK2HardwareDarkReference|connect|disconnect|getNumGrabSum|hasScriptFunction|reconnect|recv_data|send_data|setNumGrabSum,47,Uni-Lab-OS/community_drivers/gatan_socket/info.txt
gather_n_plugin_v31,gather_n_plugin_v31,Gather N Plugin V31是一款表征设备，主要功能包括使能、成像、禁用、读取数据。,表征设备,表征设备(experimental_step),12,auto-array_pixels|auto-describe_configuration|auto-disable_on_stage|auto-enable_on_stage|auto-ensure_blocking|auto-ensure_nonblocking|auto-image|auto-read_configuration|auto-set|auto-source_plugin|auto-stage|auto-warmup,array_pixels|describe_configuration|disable_on_stage|enable_on_stage|ensure_blocking|ensure_nonblocking|image|read_configuration|set|source_plugin|stage|warmup,23,Uni-Lab-OS/community_drivers/gather_n_plugin_v31/info.txt
gauge_serial,gauge_serial,Serial Vacuum Gauge驱动，支持pressure/egu。,表征设备,表征设备(experimental_step),2,auto-egu|auto-pressure,egu|pressure,12,Uni-Lab-OS/community_drivers/gauge_serial/info.txt
gcode_client,gcode_client,UFACTORY Gcode Client 客户端 气相色谱仪是由UFACTORY (xArm)生产的机械臂，主要功能包括关闭、执行、日志记录。,机械臂,机械臂(device_template_tag),3,auto-close|auto-execute|auto-execute_file,close|execute|execute_file,5,Uni-Lab-OS/community_drivers/gcode_client/info.txt
general_purpose_udp_multicast_bus,general_purpose_udp_multicast_bus,General Purpose UDP Multicast BUS是由Open Standard生产的实验执行&合成设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),4,auto-fileno|auto-recv|auto-send|auto-shutdown,fileno|recv|send|shutdown,13,Uni-Lab-OS/community_drivers/general_purpose_udp_multicast_bus/info.txt
generic_optimization,generic_optimization,Generic Optimization是一款实验执行&合成设备，主要功能包括使能、停止、关闭、启动、数据保存、状态查询。,实验执行&合成设备,实验执行&合成设备(experimental_step),48,auto-add_data|auto-allow_go_to|auto-check_create_save_node|auto-clean_h5_temp|auto-close_file|auto-config_path|auto-connect_things|auto-create_new_file|auto-do_live_plot|auto-do_save|auto-enable_controls_opti|auto-enable_settings_run|auto-format_bounds|auto-get_set_model_params|auto-get_stopping_parameters|auto-go_to|auto-go_to_best|auto-h5saver|auto-ini_custom_attributes|auto-ini_live_plot|auto-ini_model|auto-ini_optimization_runner|auto-ini_saver|auto-ini_temp_file|auto-module_and_data_saver|auto-optimization_done|auto-populate_status_bar|auto-quit|auto-recursive_enable|auto-restart_algo|auto-run_optimization|auto-set_algorithm|auto-set_model|auto-setup_actions|auto-setup_docks|auto-setup_menu|auto-stop_algo|auto-thread_status|auto-title|auto-update_actuators|auto-update_after_actuators_changed|auto-update_bounds|auto-update_data_plot|auto-update_model_settings_from_action|auto-update_prediction_function|auto-update_stopping_criteria|auto-validate_config|auto-value_changed,add_data|allow_go_to|check_create_save_node|clean_h5_temp|close_file|config_path|connect_things|create_new_file|do_live_plot|do_save|enable_controls_opti|enable_settings_run|format_bounds|get_set_model_params|get_stopping_parameters|go_to|go_to_best|h5saver|ini_custom_attributes|ini_live_plot|ini_model|ini_optimization_runner|ini_saver|ini_temp_file|module_and_data_saver|optimization_done|populate_status_bar|quit|recursive_enable|restart_algo|run_optimization|set_algorithm|set_model|setup_actions|setup_docks|setup_menu|stop_algo|thread_status|title|update_actuators|update_after_actuators_changed|update_bounds|update_data_plot|update_model_settings_from_action|update_prediction_function|update_stopping_criteria|validate_config|value_changed,57,Uni-Lab-OS/community_drivers/generic_optimization/info.txt
get_wifi_connection,get_wifi_connection,GET Wifi Connection是一款实验执行&合成设备，主要功能包括设备连接。,实验执行&合成设备,实验执行&合成设备(experimental_step),15,auto-bssid|auto-connected|auto-device|auto-dns|auto-ip_address|auto-last_connected|auto-mac|auto-name|auto-netmask|auto-security|auto-to_dict|auto-to_str|auto-type|auto-url|auto-uuid,bssid|connected|device|dns|ip_address|last_connected|mac|name|netmask|security|to_dict|to_str|type|url|uuid,32,Uni-Lab-OS/community_drivers/get_wifi_connection/info.txt
gev_device,gev_device,GEV Device是由Open Standard (GigE Vision)生产的表征设备，主要功能包括关闭、加载、导出、成像、打开、捕获。,表征设备,表征设备(experimental_step),9,get_device_info|get_device_number|open_device_by_index|open_device_by_ip|open_device_by_mac|open_device_by_sn|open_device_by_user_id|update_all_device_list|update_device_list,get_device_info|get_device_number|open_device_by_index|open_device_by_ip|open_device_by_mac|open_device_by_sn|open_device_by_user_id|update_all_device_list|update_device_list,120,Uni-Lab-OS/community_drivers/gev_device/info.txt
glassman_fr,glassman_fr,Glassman Fr是由Glassman (XP Power)生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),15,auto-channel|auto-current|auto-current_sense|auto-device_timeout|auto-fault|auto-get_status|auto-mode|auto-output|auto-query|auto-reset|auto-sendcmd|auto-set_status|auto-version|auto-voltage|auto-voltage_sense,channel|current|current_sense|device_timeout|fault|get_status|mode|output|query|reset|sendcmd|set_status|version|voltage|voltage_sense,26,Uni-Lab-OS/community_drivers/glassman_fr/info.txt
gnss_base_service,gnss_base_service,GNSS Base Service 卫星导航基础服务是由Jeio Tech Co.,实验执行&合成设备,实验执行&合成设备(experimental_step),31,auto-activeConfiguration|auto-configChanged|auto-configDir|auto-connected|auto-defConfig|auto-error|auto-estimateInfo|auto-getConfig|auto-listConfigs|auto-loadConfig|auto-logRawData|auto-logRawDataChanged|auto-posValidTimeout|auto-positionUpdate|auto-receiverInfo|auto-restore|auto-satelliteInfo|auto-satellitesChanged|auto-save|auto-saveConfig|auto-setConfig|auto-setConfigDir|auto-setDefConfig|auto-setLogRawData|auto-setPosValidTimeout|auto-setStorDir|auto-statusChanged|auto-storDir|auto-timeInfo|auto-timesyncChanged|auto-timesyncInfo,activeConfiguration|configChanged|configDir|connected|defConfig|error|estimateInfo|getConfig|listConfigs|loadConfig|logRawData|logRawDataChanged|posValidTimeout|positionUpdate|receiverInfo|restore|satelliteInfo|satellitesChanged|save|saveConfig|setConfig|setConfigDir|setDefConfig|setLogRawData|setPosValidTimeout|setStorDir|statusChanged|storDir|timeInfo|timesyncChanged|timesyncInfo,47,Uni-Lab-OS/community_drivers/gnss_base_service/info.txt
goal,goal,Goal是一款实验执行&合成设备，主要功能包括设备连接。,实验执行&合成设备,实验执行&合成设备(experimental_step),14,auto-add_constraints_of_goal|auto-add_goal|auto-add_monitor|auto-add_task|auto-arrange_in_sequence|auto-connect_end_condition_to_all_tasks|auto-connect_monitors_to_all_tasks|auto-connect_pause_condition_to_all_tasks|auto-connect_start_condition_to_all_tasks|auto-get_joint_position_symbol|auto-get_life_cycle_state_expression|auto-get_observation_state_expression|auto-has_tasks|auto-ref_str,add_constraints_of_goal|add_goal|add_monitor|add_task|arrange_in_sequence|connect_end_condition_to_all_tasks|connect_monitors_to_all_tasks|connect_pause_condition_to_all_tasks|connect_start_condition_to_all_tasks|get_joint_position_symbol|get_life_cycle_state_expression|get_observation_state_expression|has_tasks|ref_str,17,Uni-Lab-OS/community_drivers/goal/info.txt
gpib_communicator,gpib_communicator,Gpib Communicator驱动，支持address/close/eoi/eos/flush input等11个操作。,实验执行&合成设备,实验执行&合成设备(experimental_step),11,auto-address|auto-close|auto-eoi|auto-eos|auto-flush_input|auto-read|auto-read_raw|auto-terminator|auto-timeout|auto-write|auto-write_raw,address|close|eoi|eos|flush_input|read|read_raw|terminator|timeout|write|write_raw,19,Uni-Lab-OS/community_drivers/gpib_communicator/info.txt
gpio_device,gpio_device,Gpio Device是一款实验执行&合成设备，主要功能包括关闭。,实验执行&合成设备,实验执行&合成设备(experimental_step),8,auto-all|auto-close|auto-closed|auto-ensure_pin_factory|auto-is_active|auto-namedtuple|auto-pin|auto-value,all|close|closed|ensure_pin_factory|is_active|namedtuple|pin|value,40,Uni-Lab-OS/community_drivers/gpio_device/info.txt
gpio_pca9554,gpio_pca9554,Gpio Pca9554是由NXP Semiconductors生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),1,auto-init,init,34,Uni-Lab-OS/community_drivers/gpio_pca9554/info.txt
gps_position,gps_position,GPS Position是一款实验执行&合成设备，主要功能包括停止、启动、绘图、读取数据、运行。,实验执行&合成设备,实验执行&合成设备(experimental_step),5,auto-run|auto-run_once|auto-run_threaded|auto-shutdown|auto-update,run|run_once|run_threaded|shutdown|update,22,Uni-Lab-OS/community_drivers/gps_position/info.txt
graphic,graphic,Graphic是一款实验执行&合成设备，主要功能包括使能、关闭、写入数据、启动、复位、成像。,实验执行&合成设备,实验执行&合成设备(experimental_step),45,auto-CAN_REPOSITION|auto-CAN_RESHAPE|auto-CAN_ROTATE|auto-adjust_part|auto-begin_drag|auto-clone|auto-color|auto-create_proxy|auto-display_item|auto-draw|auto-draw_label|auto-end_drag|auto-fill_color|auto-get_attributes|auto-get_mask|auto-get_mask_item|auto-get_region|auto-graphic_id|auto-has_attribute|auto-is_bounds_constrained|auto-is_position_locked|auto-is_rotation_locked|auto-is_shape_locked|auto-item_specifier|auto-label|auto-label_position|auto-mime_data_dict|auto-nudge|auto-project|auto-read_from_mime_data|auto-read_properties_from_dict|auto-reset_position|auto-role|auto-source|auto-source_specifier|auto-stroke_color|auto-stroke_width|auto-test|auto-test_label|auto-update_uuids|auto-used_fill_style|auto-used_role|auto-used_stroke_style|auto-used_stroke_width|auto-write_to_dict,CAN_REPOSITION|CAN_RESHAPE|CAN_ROTATE|adjust_part|begin_drag|clone|color|create_proxy|display_item|draw|draw_label|end_drag|fill_color|get_attributes|get_mask|get_mask_item|get_region|graphic_id|has_attribute|is_bounds_constrained|is_position_locked|is_rotation_locked|is_shape_locked|item_specifier|label|label_position|mime_data_dict|nudge|project|read_from_mime_data|read_properties_from_dict|reset_position|role|source|source_specifier|stroke_color|stroke_width|test|test_label|update_uuids|used_fill_style|used_role|used_stroke_style|used_stroke_width|write_to_dict,402,Uni-Lab-OS/community_drivers/graphic/info.txt
grbl_com_serial,grbl_com_serial,Grbl COM Serial是由GRBL (Open Source)生产的实验执行&合成设备，主要功能包括中止、停止、启动、复位、运行。,实验执行&合成设备,实验执行&合成设备(experimental_step),9,auto-abort|auto-clearCom|auto-gcodeInsert|auto-gcodePush|auto-realTimePush|auto-resetSerial|auto-run|auto-startPooling|auto-stopPooling,abort|clearCom|gcodeInsert|gcodePush|realTimePush|resetSerial|run|startPooling|stopPooling,14,Uni-Lab-OS/community_drivers/grbl_com_serial/info.txt
grbl_controller,grbl_controller,Grbl Controller是由GRBL (Open Source)生产的实验执行&合成设备，主要功能包括位置设置、停止、关闭、写入数据、归零、读取数据。,实验执行&合成设备,实验执行&合成设备(experimental_step),11,auto-close|auto-get_position|auto-home|auto-move|auto-remove_comment|auto-remove_eol_chars|auto-send_gcode_command|auto-send_gcode_command_inThread|auto-send_wake_up|auto-wait_for_movement_completion|auto-write,close|get_position|home|move|remove_comment|remove_eol_chars|send_gcode_command|send_gcode_command_inThread|send_wake_up|wait_for_movement_completion|write,22,Uni-Lab-OS/community_drivers/grbl_controller/info.txt
grbl_driver,grbl_driver,GRBL Motor Driver 自动化设备是由Open Source (GRBL)生产的专业实验设备。,物流/机械,物流/机械(experimental_step),25,auto-alarm_reset|auto-check_alarm|auto-close|auto-controlled_stop|auto-current_position|auto-get_positions|auto-get_status_report|auto-home|auto-move_abs|auto-move_rel|auto-move_xyz|auto-reset_stage|auto-set_laser_intensity|auto-set_led|auto-shake_plate|auto-soft_reset|auto-stop|auto-verify_settings|auto-write_all_settings|auto-write_global_config|auto-xmove|auto-ymove|auto-zero_position|auto-zhome|auto-zmove,alarm_reset|check_alarm|close|controlled_stop|current_position|get_positions|get_status_report|home|move_abs|move_rel|move_xyz|reset_stage|set_laser_intensity|set_led|shake_plate|soft_reset|stop|verify_settings|write_all_settings|write_global_config|xmove|ymove|zero_position|zhome|zmove,32,Uni-Lab-OS/community_drivers/grbl_driver/info.txt
grblboard,grblboard,GRBL Controller Board 自动化设备是由Open Source (GRBL)生产的专业实验设备。,物流/机械,物流/机械(experimental_step),17,auto-auto_detect_serial_unix|auto-close|auto-getcurrentpos|auto-go_to|auto-initserial|auto-move_abs|auto-move_rel|auto-resethome|auto-sendgrbl|auto-set_laser_intensity|auto-set_led|auto-set_units|auto-setaccellaration|auto-setideltime|auto-setphysicalcoords|auto-setspeed|auto-zero_position,auto_detect_serial_unix|close|getcurrentpos|go_to|initserial|move_abs|move_rel|resethome|sendgrbl|set_laser_intensity|set_led|set_units|setaccellaration|setideltime|setphysicalcoords|setspeed|zero_position,18,Uni-Lab-OS/community_drivers/grblboard/info.txt
gripper,gripper,Robotic Gripper驱动，支持cal crc/read uart/write uart/init state/set force等20个操作。,机械臂,机械臂(device_template_tag),20,auto-cal_crc|auto-init_dir|auto-init_feedback|auto-init_rot_feedback|auto-init_state|auto-read_cur|auto-read_err|auto-read_pos|auto-read_rot|auto-read_rot_state|auto-read_state|auto-read_uart|auto-set_abs_rot|auto-set_force|auto-set_pos|auto-set_rel_rot|auto-set_rot_force|auto-set_rot_vel|auto-set_vel|auto-write_uart,cal_crc|init_dir|init_feedback|init_rot_feedback|init_state|read_cur|read_err|read_pos|read_rot|read_rot_state|read_state|read_uart|set_abs_rot|set_force|set_pos|set_rel_rot|set_rot_force|set_rot_vel|set_vel|write_uart,22,Uni-Lab-OS/community_drivers/gripper/info.txt
gripper_controller,gripper_controller,Robotiq 夹爪控制器是由Robotiq Inc.,机械臂,机械臂(device_template_tag),7,auto-Byte_status|auto-activate|auto-add_leading_zeros|auto-close|auto-command_gripper|auto-stat|auto-status,Byte_status|activate|add_leading_zeros|close|command_gripper|stat|status,14,Uni-Lab-OS/community_drivers/gripper_controller/info.txt
gs_usb_bus,gs_usb_bus,GS USB BUS，支持send、shutdown等功能。,实验执行&合成设备,实验执行&合成设备(experimental_step),2,auto-send|auto-shutdown,send|shutdown,4,Uni-Lab-OS/community_drivers/gs_usb_bus/info.txt
gsioc,gsioc,gsioc,generic_devices,,5,auto-bCommand|auto-closeSerial|auto-connect|auto-createSerial|auto-iCommand,bCommand|closeSerial|connect|createSerial|iCommand,6,Uni-Lab-OS/community_drivers/gsioc/info.txt
gsioc_interface,gsioc_interface,An implementation of GSIOC serial communications protocol,devices|serial,,6,auto-buffered_command|auto-buffered_command_async|auto-connect|auto-connect_async|auto-immediate_command|auto-immediate_command_async,buffered_command|buffered_command_async|connect|connect_async|immediate_command|immediate_command_async,9,Uni-Lab-OS/community_drivers/gsioc_interface/info.txt
gsv3_usb,gsv3_usb,GSV-3 USB Strain Gauge Amplifier是由ME-Meßsysteme生产的表征设备，主要功能包括停止、启动、归零校准、数据保存、读取数据。,表征设备,表征设备(experimental_step),18,auto-clear_buffer|auto-clear_maximum|auto-convertValue|auto-get_all|auto-get_firmware_version|auto-get_mode|auto-get_serial_nr|auto-get_special_mode|auto-read_value|auto-save_all|auto-set_bipolar|auto-set_mode|auto-set_offset|auto-set_special_mode|auto-set_unipolar|auto-set_zero|auto-start_transmission|auto-stop_transmission,clear_buffer|clear_maximum|convertValue|get_all|get_firmware_version|get_mode|get_serial_nr|get_special_mode|read_value|save_all|set_bipolar|set_mode|set_offset|set_special_mode|set_unipolar|set_zero|start_transmission|stop_transmission,21,Uni-Lab-OS/community_drivers/gsv3_usb/info.txt
h5_backend,h5_backend,H5 Backend是由HDF Group生产的专业实验设备。,后处理设备,后处理设备(experimental_step),18,auto-add_group|auto-close_file|auto-create_carray|auto-create_earray|auto-create_vlarray|auto-define_compression|auto-flush|auto-h5file|auto-has_attr|auto-is_node_in_group|auto-isopen|auto-open_file|auto-read|auto-root|auto-save_file_as|auto-set_attr|auto-walk_groups|auto-walk_nodes,add_group|close_file|create_carray|create_earray|create_vlarray|define_compression|flush|h5file|has_attr|is_node_in_group|isopen|open_file|read|root|save_file_as|set_attr|walk_groups|walk_nodes,81,Uni-Lab-OS/community_drivers/h5_backend/info.txt
h5_browser,h5_browser,H5 Browser是由HDF Group生产的专业实验设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),19,auto-add_comments|auto-add_log|auto-check_version|auto-connect_things|auto-export_data|auto-get_node_and_plot|auto-get_tree_node_path|auto-load_file|auto-populate_tree|auto-quit_fun|auto-save_file|auto-setup_actions|auto-setup_menu|auto-show_about|auto-show_h5_attributes|auto-show_h5_data|auto-show_help|auto-show_log|auto-show_pixmaps,add_comments|add_log|check_version|connect_things|export_data|get_node_and_plot|get_tree_node_path|load_file|populate_tree|quit_fun|save_file|setup_actions|setup_menu|show_about|show_h5_attributes|show_h5_data|show_help|show_log|show_pixmaps,31,Uni-Lab-OS/community_drivers/h5_browser/info.txt
h_pe3631a,h_pe3631a,HP E3631A Triple Output Power Supply是由Hewlett-Packard (Keysight)生产的实验执行&合成设备。,实验执行&合成设备,实验执行&合成设备(experimental_step),9,auto-channel|auto-channelid|auto-current|auto-mode|auto-output|auto-voltage|auto-voltage_max|auto-voltage_min|auto-voltage_range,channel|channelid|current|mode|output|voltage|voltage_max|voltage_min|voltage_range,8,Uni-Lab-OS/community_drivers/h_pe3631a/info.txt
hal__shim_mq,hal__shim_mq,HAL Shim MQ是由QuTech生产的实验执行&合成设备，主要功能包括日志记录、读取数据。,实验执行&合成设备,实验执行&合成设备(experimental_step),10,auto-get_correlation_detector|auto-get_input_avg_det|auto-get_int_avg_det|auto-get_int_logging_detector|auto-hal_get_flux_amp_parameter|auto-prepare_fluxing|auto-prepare_for_inspire|auto-prepare_for_timedomain|auto-prepare_readout|auto-prepare_timing,get_correlation_detector|get_input_avg_det|get_int_avg_det|get_int_logging_detector|hal_get_flux_amp_parameter|prepare_fluxing|prepare_for_inspire|prepare_for_timedomain|prepare_readout|prepare_timing,24,Uni-Lab-OS/community_drivers/hal__shim_mq/info.txt
hal__shim_sq,hal__shim_sq,HAL Shim SQ是由QuTech生产的实验执行&合成设备，主要功能包括读取数据。,实验执行&合成设备,实验执行&合成设备(experimental_step),12,auto-get_int_avg_det|auto-hal_acq_spec_mode_off|auto-hal_acq_spec_mode_on|auto-hal_flux_get_parameters|auto-hal_spec_source_off|auto-hal_spec_source_on|auto-prepare_PPC|auto-prepare_characterizing|auto-prepare_for_continuous_wave|auto-prepare_for_fluxing|auto-prepare_for_timedomain|auto-prepare_readout,get_int_avg_det|hal_acq_spec_mode_off|hal_acq_spec_mode_on|hal_flux_get_parameters|hal_spec_source_off|hal_spec_source_on|prepare_PPC|prepare_characterizing|prepare_for_continuous_wave|prepare_for_fluxing|prepare_for_timedomain|prepare_readout,38,Uni-Lab-OS/community_drivers/hal__shim_sq/info.txt
hamamatsu_h11890_device,hamamatsu_h11890_device,Hamamatsu H11890 Device是由Hamamatsu Photonics生产的实验执行&合成设备，主要功能包括停止、初始化、启动、读取数据。,实验执行&合成设备,实验执行&合成设备(experimental_step),16,auto-doInitializeDevice|auto-doShutdownDevice|auto-fetchAll|auto-fetchOne|auto-get_high_voltage|auto-get_integration_time|auto-get_repetition|auto-readReply|auto-sendCommand|auto-set_high_voltage|auto-set_integration_time|auto-set_repetition|auto-start_counting|auto-stop_counting|auto-turn_off|auto-turn_on,doInitializeDevice|doShutdownDevice|fetchAll|fetchOne|get_high_voltage|get_integration_time|get_repetition|readReply|sendCommand|set_high_voltage|set_integration_time|set_repetition|start_counting|stop_counting|turn_off|turn_on,17,Uni-Lab-OS/community_drivers/hamamatsu_h11890_device/info.txt
hamamatsu_hardware,hamamatsu_hardware,Hamamatsu Hardware是由Hamamatsu Photonics生产的表征设备，主要功能包括设备连接、设置、读取数据。,表征设备,表征设备(experimental_step),5,auto-connect|auto-disconnect|auto-readOnlyWhenOpt|auto-setup|auto-updateCameraSettings,connect|disconnect|readOnlyWhenOpt|setup|updateCameraSettings,6,Uni-Lab-OS/community_drivers/hamamatsu_hardware/info.txt
